projectid,title
ffffc4f85b60efc5b52347df489d0238,iMath
ffffac55ee02a49d1abc87ba6fc61135,Recording Rockin' Readers
ffff97ed93720407d70a2787475932b0,Kindergarten In Need of Important Materials!
ffff7266778f71242675416e600b94e1,Let's Find Out!
ffff418bb42fad24347527ad96100f81,Whistle While We Work!
ffff2d9c769c8fb5335e949c615425eb,Too Close for Comfort
fffeebf4827d745aa36b17c2d38d1966,Toot Your Flute!
fffee68353ade53e7692b23098096683,Tag Readers for Kindergartners
fffec078a2249c2365f3086a6eac7e4a,Building English Proficiency in English Language Learning Students
fffeb510ee37a0bb01079f06bf141246,Ravenous Readers Need More Material!
fffeb149cd9b85d802b2500368fd605e,Leap into Learning/Understanding a Second Language
fffeaae9482c9b72cab5bbd3f061d362,ABC Read
fffe700e315373fc1014290cf0c12f51,Smile for the Camera!!!
fffe598a41270538eab48432513513ab,Glazed Clay Pots
fffe45b28ea6f2889de1e3f797fb31a3,Glockenspiels for an Elementary School Instrumental Ensemble
fffe426c60834b0ba2eb05f759d854da,Listening For Fluency
fffe0bb8af3b9cd93046b49653cc923a,Building Our Library!
fffe0476e16862c4892e97926489986c,Rigorous Reading in 5th
fffdfdcf27588d2d32c15c12dec3a2cb,Igniting a PASSION for Reading Within Sixth Graders!
fffdfafaf7cc8fdd9b6567051b394da7,Chapter Books for Our 4th Grade Class
fffdf9d286e715165b60674ac9d05c6c,Delete the Digital Drama
fffda9a35e156656df0a2e2c7091e9cf,Opening A Window to the World Outside the Inner City
fffd7e92ef92f4f29f5ad86e82081c66,"Lights
fffcfa4388e8ac482c44734bffa891c8,"Making ""Cents"" Of  Our Behavior"
