projectid,<nn>title</nn>
ffffc4f85b60efc5b52347df489d0238,<nn>iMath</nn>
ffffac55ee02a49d1abc87ba6fc61135,<nnp>Recording</nnp> <nnp>Rockin</nnp> <pos>'</pos> <nns>Readers</nns>
ffff97ed93720407d70a2787475932b0,<nn>Kindergarten</nn> <in>In</in> <nn>Need</nn> <in>of</in> <jj>Important</jj> <nns>Materials</nns> <pp>!</pp>
ffff7266778f71242675416e600b94e1,<nnp>Let</nnp> <pos>'s</pos> <vbp>Find</vbp> <in>Out</in> <pp>!</pp>
ffff418bb42fad24347527ad96100f81,<vbp>Whistle</vbp> <in>While</in> <prp>We</prp> <vb>Work</vb> <pp>!</pp>
ffff2d9c769c8fb5335e949c615425eb,<nnp>Too</nnp> <nnp>Close</nnp> <in>for</in> <nnp>Comfort</nnp>
fffeebf4827d745aa36b17c2d38d1966,<nnp>Toot</nnp> <prps>Your</prps> <nnp>Flute</nnp> <pp>!</pp>
fffee68353ade53e7692b23098096683,<nn>Tag</nn> <nns>Readers</nns> <in>for</in> <nnp>Kindergartners</nnp>
fffec078a2249c2365f3086a6eac7e4a,<nnp>Building</nnp> <nnp>English</nnp> <nn>Proficiency</nn> <in>in</in> <nnp>English</nnp> <nn>Language</nn> <nnp>Learning</nnp> <nns>Students</nns>
fffeb510ee37a0bb01079f06bf141246,<jj>Ravenous</jj> <nns>Readers</nns> <vbp>Need</vbp> <jjr>More</jjr> <nnp>Material</nnp> <pp>!</pp>
fffeb149cd9b85d802b2500368fd605e,<nnp>Leap</nnp> <in>into</in> <nnp>Learning/Understanding</nnp> <det>a</det> <jj>Second</jj> <nn>Language</nn>
fffeaae9482c9b72cab5bbd3f061d362,<nnp>ABC</nnp> <nnp>Read</nnp>
fffe700e315373fc1014290cf0c12f51,<nn>Smile</nn> <in>for</in> <det>the</det> <nn>Camera</nn> <pp>!</pp> <pp>!</pp> <pp>!</pp>
fffe598a41270538eab48432513513ab,<nnp>Glazed</nnp> <nnp>Clay</nnp> <nnp>Pots</nnp>
fffe45b28ea6f2889de1e3f797fb31a3,<nnp>Glockenspiels</nnp> <in>for</in> <det>an</det> <jj>Elementary</jj> <nnp>School</nnp> <jj>Instrumental</jj> <nn>Ensemble</nn>
fffe426c60834b0ba2eb05f759d854da,<nn>Listening</nn> <in>For</in> <nnp>Fluency</nnp>
fffe0bb8af3b9cd93046b49653cc923a,<nnp>Building</nnp> <nnp>Our</nnp> <nnp>Library</nnp> <pp>!</pp>
fffe0476e16862c4892e97926489986c,<jj>Rigorous</jj> <nn>Reading</nn> <in>in</in> <cd>5th</cd>
